county,year,wage_median_10k,aging_idx,lfpr,unemp_rate,college_pct,industry_pct,density,log_density
澎湖縣,2022,44.5,184.14,55.1,3.8,45.34,23.92,845.18,6.739549622423593
澎湖縣,2023,46.6,194.34,56.1,3.5,40.5,24.92,849.25,6.7443536070406935
澎湖縣,2024,48.9,207.41,55.2,3.3,40.14,23.6,850.52,6.745847927138501
臺中市,2019,47.1,90.43,58.1,3.7,52.17,40.77,1271.06,7.1476064769989245
臺中市,2020,47.5,97.42,58.8,3.9,54.75,40.63,1273.55,7.149563555525502
臺中市,2021,47.9,104.75,60.1,3.9,56.86,37.77,1270.26,7.146976882908904
臺中市,2022,48.6,111.76,61.0,3.7,58.74,38.05,1270.7,7.147323208710489
臺中市,2023,49.5,118.89,60.9,3.5,59.66,37.78,1284.89,7.1584283905523245
臺中市,2024,51.7,127.29,61.1,3.4,60.02,38.86,1291.53,7.163582841069827
臺北市,2019,66.6,134.44,58.3,3.7,79.11,18.25,9731.58,9.183131546375346
臺北市,2020,68.0,143.86,58.5,3.9,80.82,18.63,9574.76,9.166885748460556
臺北市,2021,68.3,154.43,57.7,4.0,83.58,19.14,9287.7,9.136446223114477
臺北市,2022,70.1,166.1,56.0,3.7,83.58,19.1,9126.87,9.11897808896195
臺北市,2023,70.8,178.4,55.7,3.5,81.39,18.27,9241.68,9.131478966290626
臺北市,2024,73.5,189.57,55.6,3.5,82.1,18.28,9164.36,9.123077326957175
臺南市,2019,48.4,130.09,63.1,3.7,45.9,41.58,858.21,6.754848824785039
臺南市,2020,48.6,138.39,62.1,3.8,46.25,43.1,855.48,6.751662714917537
臺南市,2021,49.1,147.64,60.1,3.9,46.89,44.36,849.61,6.744777420663227
臺南市,2022,49.7,156.53,61.2,3.6,47.71,43.64,845.48,6.739904513416636
臺南市,2023,51.2,164.89,61.2,3.5,49.74,42.76,848.65,6.74364685160754
臺南市,2024,53.8,174.53,61.2,3.4,50.59,43.04,848.06,6.742951388005888
臺東縣,2019,43.1,144.21,59.4,3.6,31.91,18.34,61.67,4.1217975890034015
臺東縣,2020,43.7,152.81,58.2,3.7,33.54,18.24,61.24,4.114800570789483
臺東縣,2021,44.2,161.95,58.3,3.8,34.74,17.66,60.7,4.1059436980654525
臺東縣,2022,45.4,168.78,57.8,3.6,34.65,16.61,60.47,4.1021473742851216
臺東縣,2023,46.7,176.26,59.7,3.4,37.66,18.06,60.18,4.0973400712018995
臺東縣,2024,48.3,183.72,59.5,3.3,38.76,18.37,59.8,4.091005660956586
花蓮縣,2019,45.3,140.16,56.9,3.6,44.65,23.74,70.49,4.255470855785784
花蓮縣,2020,46.5,149.15,56.2,3.7,46.61,23.74,70.08,4.249637446628136
花蓮縣,2021,47.0,158.48,55.2,3.8,48.54,21.82,69.43,4.240319050765182
花蓮縣,2022,48.0,167.55,56.7,3.5,47.76,21.68,68.9,4.232656178019613
花蓮縣,2023,49.6,176.45,58.0,3.3,43.91,22.07,68.59,4.22814675151123
花蓮縣,2024,50.4,188.05,58.1,3.3,43.83,21.98,68.14,4.22156441223282
苗栗縣,2019,52.3,135.04,58.5,3.7,42.48,46.43,299.65,5.7026151269041945
苗栗縣,2020,52.5,142.0,58.3,3.7,45.74,46.22,298.07,5.697328358249735
苗栗縣,2021,53.7,149.75,58.3,3.9,47.94,47.65,295.65,5.689176322266839
苗栗縣,2022,55.4,157.36,59.3,3.6,46.57,47.86,293.98,5.683511737813841
苗栗縣,2023,56.7,163.96,59.9,3.5,49.19,44.81,293.67,5.682456687941449
苗栗縣,2024,59.1,172.51,59.0,3.3,51.57,45.82,292.73,5.679250682466869
連江縣,2019,,102.34,70.8,0.1,45.99,19.37,454.48,6.1191539082488715
連江縣,2020,,111.36,74.9,0.6,53.36,20.7,461.08,6.133571563732811
連江縣,2021,,123.93,75.0,0.4,49.85,18.12,473.78,6.160743078929981
連江縣,2022,,137.04,73.9,0.2,51.43,19.98,485.52,6.185220481527599
連江縣,2023,,146.56,73.6,0.2,55.11,19.75,487.47,6.189228750082795
連江縣,2024,,162.73,71.9,0.1,54.98,20.68,484.38,6.182869722634979
金門縣,2019,,148.93,57.2,1.1,42.15,24.08,924.36,6.829101606152875
金門縣,2020,,161.08,56.9,1.9,44.32,26.9,927.08,6.8320398617343585
金門縣,2021,,176.72,56.6,3.1,48.55,23.87,933.29,6.838715977845918
金門縣,2022,,196.01,57.8,1.3,51.26,24.55,931.68,6.83698940808881
金門縣,2023,,212.03,57.1,1.2,51.25,24.43,950.5,6.856988161928484
金門縣,2024,,232.16,57.3,1.2,51.25,25.42,946.89,6.853182930156416
雲林縣,2019,48.3,164.31,59.9,3.6,36.59,34.46,527.8,6.268717424069224
雲林縣,2020,48.3,172.97,59.0,3.8,36.85,34.91,524.37,6.262197542015105
雲林縣,2021,48.1,182.08,59.0,3.8,35.69,34.5,519.15,6.252192858749463
雲林縣,2022,48.4,190.12,59.8,3.6,35.77,32.94,514.47,6.2431372445361655
雲林縣,2023,50.5,197.8,58.9,3.5,38.66,33.1,510.89,6.236154302843176
雲林縣,2024,53.3,198.8,59.0,3.4,39.61,32.84,510.08,6.234567576161796
高雄市,2019,49.5,133.5,58.2,3.7,51.2,36.47,939.48,6.8453265307078235
高雄市,2020,50.0,142.74,57.6,3.8,51.7,36.98,937.02,6.8427046267278095
高雄市,2021,50.3,152.25,58.6,3.9,53.19,37.45,929.82,6.834991019027298
高雄市,2022,50.9,161.78,58.8,3.6,54.72,36.4,924.21,6.828939318546423
高雄市,2023,51.8,170.97,58.9,3.4,55.53,36.72,927.45,6.832438884672688
高雄市,2024,54.2,181.28,58.2,3.3,57.54,35.99,925.24,6.8300531633181
