"county","region","year","wage","unemp_rate","lfpr","college_pct","aging_idx","industry_pct","density","log_density","log_wage","wage_level","high_wage","region_f","year_f"
"新北市","北部",2022,4.35,3.7,58.4,59.3,147.86,32.07,1946.61,7.5738,1.47017584510059,"高薪",1,"北部","2022"
"新北市","北部",2023,4.4417,3.5,58.6,61.64,159.43,32,1968.81,7.5852,1.49103718604607,"高薪",1,"北部","2023"
"新北市","北部",2024,4.6417,3.4,59.1,61.9,172.66,31.68,1971.68,7.5866,1.535080678448,"高薪",1,"北部","2024"
"新竹市","北部",2019,6.0083,3.7,58.8,61.82,73.35,43.97,4309.09,8.3685,1.79314184663731,"高薪",1,"北部","2019"
"新竹市","北部",2020,6.1167,3.8,58.6,63.83,77.41,41.88,4334.14,8.3743,1.8110227354089,"高薪",1,"北部","2020"
"新竹市","北部",2021,6.4167,3.8,58.8,67.13,81.77,42.63,4345.93,8.377,1.85890396685739,"高薪",1,"北部","2021"
"新竹市","北部",2022,6.8417,3.6,59.1,67.76,87.03,45.69,4344.33,8.3766,1.9230362387657,"高薪",1,"北部","2022"
"新竹市","北部",2023,7.0417,3.4,59.2,68.46,93.05,43.9,4382.75,8.3854,1.95184961829173,"高薪",1,"北部","2023"
"新竹市","北部",2024,7.5167,3.3,59.3,69.49,99.45,43.23,4390.12,8.3871,2.01712721186055,"高薪",1,"北部","2024"
"新竹縣","北部",2019,5.35,3.8,61,52.76,77.69,49.41,395.04,5.979,1.67709656090792,"高薪",1,"北部","2019"
"新竹縣","北部",2020,5.4083,3.8,61.7,53.31,80.43,47.41,399.83,5.991,1.68793481057485,"高薪",1,"北部","2020"
"新竹縣","北部",2021,5.7,3.8,59.7,53.4,83.55,50.3,403.2,5.9994,1.7404661748405,"高薪",1,"北部","2021"
"新竹縣","北部",2022,5.7667,3.7,60.4,55.51,86.71,53.52,406.65,6.008,1.75209999316574,"高薪",1,"北部","2022"
"新竹縣","北部",2023,5.9667,3.5,59.1,57.96,90.55,52.27,412.8,6.023,1.78619401075517,"高薪",1,"北部","2023"
"新竹縣","北部",2024,6.1333,3.3,60.1,59.7,95.69,53.91,416.55,6.032,1.81373294114945,"高薪",1,"北部","2024"
"桃園市","北部",2019,4.625,3.8,57.2,48.96,81.4,44.23,1842.03,7.5186,1.53147637096439,"高薪",1,"北部","2019"
"桃園市","北部",2020,4.6083,4,59,50.76,88.03,43.22,1858.22,7.5274,1.52785902544107,"高薪",1,"北部","2020"
"桃園市","北部",2021,4.7583,4,61,51.59,94.79,42.8,1861.16,7.529,1.55989046159549,"高薪",1,"北部","2021"
"桃園市","北部",2022,4.8333,3.7,61.6,54.05,101.89,43.12,1868.59,7.5329,1.57552946418291,"高薪",1,"北部","2022"
"桃園市","北部",2023,4.9333,3.5,61.5,56.26,109.48,43.36,1898.06,7.5486,1.59600813532238,"高薪",1,"北部","2023"
"桃園市","北部",2024,5.1333,3.4,61.8,56.42,118.11,42.18,1915.43,7.5577,1.6357487272239,"高薪",1,"北部","2024"
"澎湖縣","離島",2019,3.525,3.7,52.1,45.96,159.4,21.35,829.29,6.7206,1.25988043626423,"低薪",0,"離島","2019"
"澎湖縣","離島",2020,3.5667,3.9,51.7,45.63,165.71,21.46,835.16,6.7276,1.27164079855047,"低薪",0,"離島","2020"
"澎湖縣","離島",2021,3.5667,4.1,52.1,45.96,175.36,22.76,838.22,6.7313,1.27164079855047,"低薪",0,"離島","2021"
"澎湖縣","離島",2022,3.7083,3.8,55.1,45.34,184.14,23.92,845.18,6.7395,1.31057355057975,"低薪",0,"離島","2022"
"澎湖縣","離島",2023,3.8833,3.5,56.1,40.5,194.34,24.92,849.25,6.7444,1.35668530761577,"低薪",0,"離島","2023"
"澎湖縣","離島",2024,4.075,3.3,55.2,40.14,207.41,23.6,850.52,6.7458,1.40487074669283,"低薪",0,"離島","2024"
"臺中市","中部",2019,3.925,3.7,58.1,52.17,90.43,40.77,1271.06,7.1476,1.36736635123437,"低薪",0,"中部","2019"
"臺中市","中部",2020,3.9583,3.9,58.8,54.75,97.42,40.63,1273.55,7.1496,1.37581464016451,"低薪",0,"中部","2020"
"臺中市","中部",2021,3.9917,3.9,60.1,56.86,104.75,37.77,1270.26,7.147,1.38421720532469,"低薪",0,"中部","2021"
"臺中市","中部",2022,4.05,3.7,61,58.74,111.76,38.05,1270.7,7.1473,1.39871688111845,"低薪",0,"中部","2022"
"臺中市","中部",2023,4.125,3.5,60.9,59.66,118.89,37.78,1284.89,7.1584,1.41706601978664,"高薪",1,"中部","2023"
"臺中市","中部",2024,4.3083,3.4,61.1,60.02,127.29,38.86,1291.53,7.1636,1.46054339475255,"高薪",1,"中部","2024"
"臺北市","北部",2019,5.55,3.7,58.3,79.11,134.44,18.25,9731.58,9.1831,1.71379792775834,"高薪",1,"北部","2019"
"臺北市","北部",2020,5.6667,3.9,58.5,80.82,143.86,18.63,9574.76,9.1669,1.73460693772375,"高薪",1,"北部","2020"
"臺北市","北部",2021,5.6917,4,57.7,83.58,154.43,19.14,9287.7,9.1364,1.73900897328697,"高薪",1,"北部","2021"
"臺北市","北部",2022,5.8417,3.7,56,83.58,166.1,19.1,9126.87,9.119,1.76502185037036,"高薪",1,"北部","2022"
"臺北市","北部",2023,5.9,3.5,55.7,81.39,178.4,18.27,9241.68,9.1315,1.77495235091167,"高薪",1,"北部","2023"
"臺北市","北部",2024,6.125,3.5,55.6,82.1,189.57,18.28,9164.36,9.1231,1.81237875643079,"高薪",1,"北部","2024"
"臺南市","南部",2019,4.0333,3.7,63.1,45.9,130.09,41.58,858.21,6.7548,1.39458489943762,"低薪",0,"南部","2019"
"臺南市","南部",2020,4.05,3.8,62.1,46.25,138.39,43.1,855.48,6.7517,1.39871688111845,"低薪",0,"南部","2020"
"臺南市","南部",2021,4.0917,3.9,60.1,46.89,147.64,44.36,849.61,6.7448,1.4089605316188,"低薪",0,"南部","2021"
