"county","region","year","wage","unemp_rate","lfpr","college_pct","aging_idx","industry_pct","density","log_density","log_wage","wage_level","high_wage","region_f","year_f","wage_z","unemp_rate_z","lfpr_z","college_pct_z","aging_idx_z","log_density_z","industry_pct_z"
"嘉義市","南部",2024,4.0917,3.3,56.7,65.83,156.08,26.66,4367.75,8.382,1.4089605316188,"低薪",0,"南部","2024",-0.344292281820959,-0.129121122029971,-0.728542884353777,1.37700329259626,0.0247424752127367,1.40310773152313,-0.626630672775354
"嘉義縣","南部",2019,3.7833,3.7,60.5,32.52,213.05,32.61,264.29,5.577,1.3305966446478,"低薪",0,"南部","2019",-0.724581993643112,0.344322992079922,0.31169938946306,-1.5338772530255,1.41535834441143,-0.745343664077916,-0.00989416851750543
"嘉義縣","南部",2020,3.8083,3.8,59,33.09,226.15,32.58,262.38,5.5698,1.33718289533862,"低薪",0,"南部","2020",-0.693754358119267,0.462684020607394,-0.0989225607277969,-1.48406632804788,1.73512432451505,-0.750858405628122,-0.013003764337293
"嘉義縣","南部",2021,3.825,3.9,59,33.87,240.68,30.73,259.14,5.5574,1.3415584672785,"低薪",0,"南部","2021",-0.673161497589338,0.581045049134867,-0.0989225607277969,-1.41590400965746,2.08979605664524,-0.760356016075699,-0.204762173224187
"嘉義縣","南部",2022,3.8667,3.6,60.2,34.58,252.45,32.8,256.43,5.5469,1.35240143009671,"低薪",0,"南部","2022",-0.621741001535565,0.225961963552448,0.22957499942489,-1.35385882240464,2.37709724640246,-0.768398347503083,0.00979993834114832
"嘉義縣","南部",2023,3.975,3.5,59,35.7,263.11,32.13,254.54,5.5395,1.3800247481063,"低薪",0,"南部","2023",-0.488195684446268,0.107600935024975,-0.0989225607277969,-1.25598472420301,2.63730376150967,-0.774066276318572,-0.0596477016341046
"嘉義縣","南部",2024,4.1833,3.4,59.4,33.51,276.29,31.34,251.51,5.5275,1.43110040875045,"高薪",1,"南部","2024",-0.231339825261591,-0.0107600935024977,0.0105766259897646,-1.44736354122227,2.95902251095743,-0.783257512235582,-0.141533724888508
"基隆市","北部",2019,4.2333,3.8,57.5,51.53,159.84,27.43,2778.67,7.9297,1.44298183074969,"高薪",1,"北部","2019",-0.169684554213901,0.462684020607394,-0.509544510918654,0.127360788771848,0.116522634387514,1.0566747310845,-0.546817713400809
"基隆市","北部",2020,4.2083,4,57,51.72,171.76,28.28,2768.76,7.9262,1.43705876566987,"高薪",1,"北部","2020",-0.200512189737746,0.69940607766234,-0.646418494315606,0.143964430431053,0.407485266665002,1.05399395394204,-0.45871249850683
"基隆市","北部",2021,4.2167,4,55.5,53.51,184.22,29.34,2741.64,7.9163,1.43905283161251,"高薪",1,"北部","2021",-0.190154104201734,0.69940607766234,-1.05704044450646,0.300388212378305,0.711629092015463,1.04641118431051,-0.34884011287434
"基隆市","北部",2022,4.3167,3.8,56.6,55.84,196.12,30.3,2723.18,7.9096,1.46249122145534,"高薪",1,"北部","2022",-0.0668435621063538,0.462684020607394,-0.755917681033168,0.504001291672772,1.00210353195691,1.04127941092351,-0.249333046641141
"基隆市","北部",2023,4.4083,3.5,56.5,57.57,209.87,27.23,2728.67,7.9116,1.48348912761099,"高薪",1,"北部","2023",0.0461088944530142,0.107600935024975,-0.783292477712559,0.655181818359222,1.3377357629817,1.04281128357634,-0.567548352199392
"基隆市","北部",2024,4.6083,3.5,56.5,60.45,224.53,26.12,2722.54,7.9093,1.52785902544107,"高薪",1,"北部","2024",0.292729978643775,0.107600935024975,-0.783292477712559,0.906858070877704,1.69558074529613,1.04104963002558,-0.682603397531528
"宜蘭縣","東部",2019,3.9167,3.7,61.4,43.93,140.17,30.81,211.87,5.356,1.36524946252414,"低薪",0,"東部","2019",-0.560085730487875,0.344322992079922,0.558072559577574,-0.53678487759637,-0.363614528103944,-0.91461559221618,-0.196469917704754
"宜蘭縣","東部",2020,3.9417,3.9,61.6,41.68,147.93,32.51,211.36,5.3536,1.37161210233375,"低薪",0,"東部","2020",-0.52925809496403,0.581045049134867,0.612822152936356,-0.733406949876435,-0.174195901721955,-0.916453839399582,-0.0202594879167971
